2017-07-04 10:45:32 [main] ERROR by.kooks.stockExchange.parser.InputDataParser  line:29 - Wrong data quantity in the file.
2017-07-04 10:45:32 [main] ERROR by.kooks.stockExchange.parser.InputDataParser  line:29 - Wrong data quantity in the file.
2017-07-04 10:45:32 [main] INFO  StockRunner  line:52 - Brokers after trading in assets' ascending order: 
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 7 has 8 shares of Facebook, (Broker 7)48815,15 of money, total assets: 50001,14
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 1 has 5 shares of Gazprom, (Broker 1)49615,00 of money, total assets: 50005,76
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 5 has 60 shares of volkswagen, (Broker 5)29528,40 of money, total assets: 50011,11
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 2 has 2 shares of Rusal, (Broker 2)56 shares of volkswagen, (Broker 2)30708,80 of money, total assets: 50056,69
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 8 has 59 shares of Rusal, (Broker 8)43272,85 of money, total assets: 50078,46
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 10 has 83 shares of Amazon, (Broker 10)43835,66 of money, total assets: 50092,76
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 9 has 93 shares of Rusal, (Broker 9)47 shares of Gazprom, (Broker 9)10 shares of Amazon, (Broker 9)34969,78 of money, total assets: 50124,23
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 3 has 48 shares of Amazon, (Broker 3)13 shares of volkswagen, (Broker 3)42089,83 of money, total assets: 50146,32
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 4 has 19 shares of Apple, (Broker 4)88 shares of Facebook, (Broker 4)34839,40 of money, total assets: 50149,39
2017-07-04 10:45:32 [main] INFO  StockRunner  line:53 - Broker 6 has 37 shares of Gazprom, (Broker 6)35 shares of Amazon, (Broker 6)88 shares of Facebook, (Broker 6)31581,86 of money, total assets: 50157,89
2017-07-04 10:48:43 [main] ERROR by.kooks.stockExchange.parser.InputDataParser  line:29 - Wrong data quantity in the file.
2017-07-04 10:48:43 [main] ERROR by.kooks.stockExchange.parser.InputDataParser  line:29 - Wrong data quantity in the file.
2017-07-04 10:48:44 [main] INFO  StockRunner  line:52 - Brokers after trading in assets' ascending order: 
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 2 has 6 shares of Rusal, (Broker 2)5 shares of Volkswagen, (Broker 2)47610,57 of money, total assets: 50002,60
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 10 has 17 shares of Volkswagen, (Broker 10)44201,26 of money, total assets: 50002,85
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 3 has 6 shares of Rusal, (Broker 3)49317,40 of money, total assets: 50003,09
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 7 has 5 shares of Amazon, (Broker 7)49692,37 of money, total assets: 50066,80
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 9 has 83 shares of Apple, (Broker 9)40123,00 of money, total assets: 50084,34
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 8 has 65 shares of Gazprom, (Broker 8)33 shares of Amazon, (Broker 8)42438,94 of money, total assets: 50088,67
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 4 has 38 shares of Apple, (Broker 4)62 shares of Volkswagen, (Broker 4)22 shares of Amazon, (Broker 4)22733,99 of money, total assets: 50100,84
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 1 has 20 shares of Gazprom, (Broker 1)62 shares of Amazon, (Broker 1)43934,00 of money, total assets: 50170,36
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 5 has 8 shares of Volkswagen, (Broker 5)36 shares of Gazprom, (Broker 5)59 shares of Facebook, (Broker 5)35878,55 of money, total assets: 50173,46
2017-07-04 10:48:44 [main] INFO  StockRunner  line:53 - Broker 6 has 20 shares of Rusal, (Broker 6)86 shares of Gazprom, (Broker 6)15 shares of Amazon, (Broker 6)39978,64 of money, total assets: 50239,07
2017-07-04 10:49:50 [main] INFO  StockRunner  line:52 - Brokers after trading in assets' ascending order: 
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 9 has 13 shares of Rusal, (Broker 9)82 shares of Volkswagen, (Broker 9)20523,24 of money, total assets: 50036,96
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 2 has 26 shares of Apple, (Broker 2)8 shares of Volkswagen, (Broker 2)44182,63 of money, total assets: 50039,96
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 10 has 50 shares of Rusal, (Broker 10)54 shares of Apple, (Broker 10)16 shares of Amazon, (Broker 10)36617,07 of money, total assets: 50049,63
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 7 has 1 shares of Rusal, (Broker 7)32 shares of Gazprom, (Broker 7)1 shares of Amazon, (Broker 7)47356,39 of money, total assets: 50056,65
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 6 has 49 shares of Gazprom, (Broker 6)72 shares of Facebook, (Broker 6)35530,38 of money, total assets: 50120,11
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 8 has 8 shares of Rusal, (Broker 8)56 shares of Apple, (Broker 8)98 shares of Facebook, (Broker 8)27863,78 of money, total assets: 50136,84
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 3 has 27 shares of Rusal, (Broker 3)81 shares of Volkswagen, (Broker 3)1 shares of Facebook, (Broker 3)19215,56 of money, total assets: 50145,00
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 4 has 70 shares of Amazon, (Broker 4)55 shares of Facebook, (Broker 4)36699,65 of money, total assets: 50164,72
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 5 has 72 shares of Volkswagen, (Broker 5)67 shares of Amazon, (Broker 5)9 shares of Facebook, (Broker 5)19210,88 of money, total assets: 50188,56
2017-07-04 10:49:50 [main] INFO  StockRunner  line:53 - Broker 1 has 31 shares of Gazprom, (Broker 1)97 shares of Facebook, (Broker 1)33354,00 of money, total assets: 50262,88
2017-07-04 11:51:37 [main] INFO  StockRunner  line:52 - Brokers after trading in assets' ascending order: 
2017-07-04 11:51:37 [main] INFO  StockRunner  line:53 - Broker 8 has 4 shares of Amazon, (Broker 8)49708,22 of money, total assets: 50005,13
2017-07-04 11:51:37 [main] INFO  StockRunner  line:53 - Broker 1 has 24 shares of Rusal, (Broker 1)47288,32 of money, total assets: 50042,52
2017-07-04 11:51:37 [main] INFO  StockRunner  line:53 - Broker 2 has 56 shares of Rusal, (Broker 2)10 shares of Amazon, (Broker 2)31 shares of Facebook, (Broker 2)38315,74 of money, total assets: 50048,04
2017-07-04 11:51:37 [main] INFO  StockRunner  line:53 - Broker 7 has 39 shares of Apple, (Broker 7)15 shares of Gazprom, (Broker 7)68 shares of Volkswagen, (Broker 7)20975,82 of money, total assets: 50053,22
2017-07-04 11:51:37 [main] INFO  StockRunner  line:53 - Broker 10 has 2 shares of Rusal, (Broker 10)38 shares of Gazprom, (Broker 10)46785,04 of money, total assets: 50059,95
2017-07-04 11:51:37 [main] INFO  StockRunner  line:53 - Broker 6 has 48 shares of Volkswagen, (Broker 6)66 shares of Amazon, (Broker 6)28793,54 of money, total assets: 50084,26
2017-07-04 11:51:37 [main] INFO  StockRunner  line:53 - Broker 5 has 71 shares of Gazprom, (Broker 5)44410,09 of money, total assets: 50100,17
2017-07-04 11:51:37 [main] INFO  StockRunner  line:53 - Broker 9 has 4 shares of Rusal, (Broker 9)70 shares of Gazprom, (Broker 9)44041,37 of money, total assets: 50110,35
2017-07-04 11:51:37 [main] INFO  StockRunner  line:53 - Broker 4 has 38 shares of Gazprom, (Broker 4)52 shares of Volkswagen, (Broker 4)10 shares of Amazon, (Broker 4)28604,07 of money, total assets: 50149,36
